athlete_display_name,game_date,game_date_time,points,assists,offensive_rebounds,home_away,season_type,opponent_defensive_rating,minutes,opponent_team_name
Aaron Gordon,2025-11-12,2025-11-12 22:30:00,18,0,2,away,regular,129.5,31,Clippers
Jamal Murray,2025-11-12,2025-11-12 22:30:00,15,4,1,away,regular,129.5,33,Clippers
Christian Braun,2025-11-12,2025-11-12 22:30:00,6,4,2,away,regular,129.5,16,Clippers
Tim Hardaway Jr.,2025-11-12,2025-11-12 22:30:00,12,3,0,away,regular,129.5,21,Clippers
Ivica Zubac,2025-11-12,2025-11-12 22:30:00,18,1,6,home,regular,120.4,32,Nuggets
James Harden,2025-11-12,2025-11-12 22:30:00,23,5,0,home,regular,120.4,30,Nuggets
Rui Hachimura,2025-11-12,2025-11-12 21:47:00,13,1,0,away,regular,91.7,33,Thunder
Austin Reaves,2025-11-12,2025-11-12 21:47:00,13,3,0,away,regular,91.7,30,Thunder
Shai Gilgeous-Alexander,2025-11-12,2025-11-12 21:47:00,30,9,0,home,regular,117.3,29,Lakers
Jaren Jackson Jr.,2025-11-12,2025-11-12 19:30:00,18,0,2,away,regular,93.7,23,Celtics
Kentavious Caldwell-Pope,2025-11-12,2025-11-12 19:30:00,0,3,1,away,regular,93.7,19,Celtics
Derrick White,2025-11-12,2025-11-12 19:30:00,20,4,3,home,regular,134.7,26,Grizzlies
Jaylen Brown,2025-11-12,2025-11-12 19:30:00,19,6,3,home,regular,134.7,25,Grizzlies
Andrew Wiggins,2025-11-12,2025-11-12 19:30:00,17,6,2,home,regular,103.8,33,Cavaliers
Norman Powell,2025-11-12,2025-11-12 19:30:00,27,5,0,home,regular,103.8,33,Cavaliers
Davion Mitchell,2025-11-12,2025-11-12 19:30:00,16,4,0,home,regular,103.8,34,Cavaliers
Gary Trent Jr.,2025-11-12,2025-11-12 19:00:00,2,4,0,away,regular,107.9,29,Hornets
Bobby Portis,2025-11-12,2025-11-12 19:00:00,14,1,3,away,regular,107.9,23,Hornets
OG Anunoby,2025-11-12,2025-11-12 19:00:00,8,1,0,home,regular,104.8,34,Magic
Karl-Anthony Towns,2025-11-12,2025-11-12 19:00:00,15,4,2,home,regular,104.8,35,Magic
Mikal Bridges,2025-11-12,2025-11-12 19:00:00,6,2,0,home,regular,104.8,28,Magic
Jalen Brunson,2025-11-12,2025-11-12 19:00:00,31,6,1,home,regular,104.8,37,Magic
Josh Hart,2025-11-12,2025-11-12 19:00:00,10,2,1,home,regular,104.8,18,Magic
Jimmy Butler III,2025-11-11,2025-11-11 20:00:00,12,2,1,away,regular,100.2,22,Thunder
Draymond Green,2025-11-11,2025-11-11 20:00:00,3,4,0,away,regular,100.2,22,Thunder
Stephen Curry,2025-11-11,2025-11-11 20:00:00,11,0,0,away,regular,100.2,20,Thunder
Brandin Podziemski,2025-11-11,2025-11-11 20:00:00,10,1,0,away,regular,100.2,21,Thunder
Michael Porter Jr.,2025-11-11,2025-11-11 19:30:00,21,3,1,home,regular,107.8,36,Raptors
Giannis Antetokounmpo,2025-11-10,2025-11-10 20:30:00,30,6,3,away,regular,108.4,37,Mavericks
Evan Mobley,2025-11-10,2025-11-10 19:30:00,21,5,8,away,regular,119.1,39,Heat
Donovan Mitchell,2025-11-10,2025-11-10 19:30:00,28,8,5,away,regular,119.1,41,Heat
Jrue Holiday,2025-11-10,2025-11-10 19:00:00,13,7,2,away,regular,111.5,36,Magic
Paolo Banchero,2025-11-10,2025-11-10 19:00:00,28,3,0,home,regular,110.6,35,Trail Blazers
Franz Wagner,2025-11-10,2025-11-10 19:00:00,19,6,2,home,regular,110.6,36,Trail Blazers
Wendell Carter Jr.,2025-11-10,2025-11-10 19:00:00,19,5,5,home,regular,110.6,30,Trail Blazers
Desmond Bane,2025-11-10,2025-11-10 19:00:00,22,7,1,home,regular,110.6,33,Trail Blazers
Julius Randle,2025-11-09,2025-11-09 21:00:00,19,4,2,away,regular,131.4,26,Kings
Jaden McDaniels,2025-11-09,2025-11-09 21:00:00,21,3,1,away,regular,131.4,26,Kings
Anthony Edwards,2025-11-09,2025-11-09 21:00:00,26,5,1,away,regular,131.4,30,Kings
Al Horford,2025-11-09,2025-11-09 20:30:00,12,1,1,home,regular,110.4,18,Pacers
Jalen Duren,2025-11-09,2025-11-09 19:30:00,21,1,4,away,regular,109.6,37,76ers
Cade Cunningham,2025-11-09,2025-11-09 19:30:00,26,11,0,away,regular,109.6,41,76ers
Alperen Sengun,2025-11-09,2025-11-09 15:30:00,23,7,4,away,regular,125.5,40,Bucks
Amen Thompson,2025-11-09,2025-11-09 15:30:00,14,5,4,away,regular,125.5,37,Bucks
Jalen Green,2025-11-08,2025-11-08 22:30:00,2,1,1,away,regular,122.3,7,Clippers
Pascal Siakam,2025-11-08,2025-11-08 21:00:00,14,5,2,away,regular,96.2,33,Nuggets
Andrew Nembhard,2025-11-08,2025-11-08 21:00:00,22,6,0,away,regular,96.2,33,Nuggets
Bam Adebayo,2025-11-05,2025-11-05 21:00:00,2,0,0,away,regular,104.7,8,Nuggets
Kawhi Leonard,2025-11-03,2025-11-03 22:30:00,27,4,2,home,regular,111.9,37,Heat
Tobias Harris,2025-11-01,2025-11-01 22:00:00,11,1,0,home,regular,122,36,Mavericks
