 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
1,Cam Christie,LAC,20,2,1,1,7.1,92.6,85.7,6.9,50.0,0.00,20.0,0.0,17.6,8.8,0.0,50.0,56.3,24.2,92.52,44.0,27
2,Anton Watson,LAL,25,2,0,2,6.9,100.0,40.0,60.0,33.3,0.00,75.0,0.0,5.3,2.7,0.0,150.0,150.0,2.9,102.48,40.0,29
3,Mark Sears,MIL,23,3,3,0,3.5,123.1,84.0,39.1,40.0,0.00,33.3,0.0,5.3,4.0,0.0,116.7,116.0,14.8,115.11,39.3,26
4,Moses Brown,DEN,26,1,0,1,4.2,144.4,111.1,33.3,0.0,0.00,0.0,33.3,25.0,30.0,0.0,80.0,80.0,41.7,103.68,39.1,9
5,Charles Bediako,DET,23,1,0,1,2.9,50.0,100.0,-50.0,0.0,0.00,0.0,16.7,100,28.6,0.0,0.0,0.0,0.0,122.73,37.5,8
6,T.J. McConnell,IND,33,1,1,0,8.3,123.5,94.1,29.4,60.0,0.00,42.9,66.7,0.0,15.4,0.0,100,90.2,21.1,98.91,35.1,17
7,Cormac Ryan,MIL,26,2,2,0,4.1,142.1,85.0,57.1,0.0,0.00,0.0,25.0,7.7,11.8,0.0,75.0,90.6,30.0,113.00,34.5,19
8,Christian Shumate,NOP,23,2,2,0,5.4,128.6,68.4,60.2,0.0,0.00,0.0,36.4,10.5,20.0,0.0,100,82.0,17.2,88.62,32.1,21
9,Cade Cunningham,DET,24,2,1,1,18.7,136.5,108.1,28.3,40.0,2.50,23.3,3.2,19.0,12.3,9.3,72.0,77.1,33.3,109.59,29.6,85
10,Alex Sarr,WAS,20,1,0,1,16.8,104.9,61.9,43.0,0.0,0.00,0.0,0.0,22.9,15.4,22.2,90.0,88.8,20.9,118.69,29.3,41
11,Ajay Mitchell,OKC,23,1,0,1,15.1,103.0,116.1,-13.1,50.0,1.50,21.4,0.0,5.3,3.0,14.3,75.0,78.4,32.4,101.50,29.2,33
12,Hunter Dickinson,NOP,24,1,1,0,6.7,146.2,91.7,54.5,16.7,0.00,25.0,0.0,30.0,20.0,0.0,66.7,66.7,16.7,89.11,28.0,13
13,Kessler Edwards,DEN,25,1,1,0,4.4,90.0,44.4,45.6,0.0,0.00,0.0,0.0,33.3,25.0,50.0,0.0,56.8,20.0,103.25,27.3,10
14,Tobias Harris,DET,33,1,1,0,14.2,133.3,97.3,36.0,15.4,0.00,20.0,16.7,10.5,12.9,0.0,78.6,78.1,19.0,123.53,26.8,36
15,Zion Williamson,NOP,25,2,2,0,15.4,118.3,87.7,30.6,42.1,2.00,27.6,3.7,25.6,16.7,13.8,61.5,66.1,26.6,112.57,25.7,71
16,Chris Livingston,MIL,21,2,2,0,9.6,131.7,97.6,34.1,9.1,0.33,7.1,14.3,9.5,11.4,21.4,80.0,90.4,28.3,103.66,25.6,41
17,Zach LaVine,SAC,30,2,0,2,19.9,113.8,95.3,18.4,15.0,1.50,12.5,2.6,8.3,5.8,8.3,88.9,90.6,22.6,104.10,25.6,87
18,Thanasis Antetokounmpo,MIL,33,2,2,0,5.6,134.6,81.5,53.1,16.7,0.00,33.3,0.0,18.8,13.0,0.0,100,100,7.1,112.73,25.4,26
19,Jalen McDaniels,NOP,27,2,2,0,7.1,93.1,86.2,6.9,11.1,1.00,33.3,0.0,21.1,11.1,33.3,150.0,150.0,5.7,98.72,25.4,29
